sampID	project	sort_date	well	libname	seqtype	cross	dap	n_nuc	peak	stage	stagecode	batch	platform	final ERCC dil.
D17-187037	171003Geh	9/12/17	3F	P2_3F	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187038	171003Geh	9/12/17	3G	P2_3G	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187039	171003Geh	9/12/17	3H	P2_3H	single	CxV	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187040	171003Geh	9/12/17	4A	P2_4A	single	VxC	nocell	0	NA	NA	4	2	HiSeq 2000	1:500M
D17-187041	171003Geh	9/12/17	4B	P2_4B	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187042	171003Geh	9/12/17	4C	P2_4C	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187043	171003Geh	9/12/17	4D	P2_4D	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187044	171003Geh	9/12/17	4E	P2_4E	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187045	171003Geh	9/12/17	4F	P2_4F	single	VxC	5	2	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187046	171003Geh	9/12/17	4G	P2_4G	single	VxC	5	2	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187047	171003Geh	9/12/17	5A	P2_5A	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187048	171003Geh	9/12/17	5B	P2_5B	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187049	171003Geh	9/12/17	5C	P2_5C	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187050	171003Geh	9/12/17	5D	P2_5D	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187051	171003Geh	9/12/17	5E	P2_5E	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187052	171003Geh	9/12/17	5F	P2_5F	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187053	171003Geh	9/12/17	5G	P2_5G	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187054	171003Geh	9/12/17	5H	P2_5H	single	VxC	5	1	3N	torpedo	4	2	HiSeq 2000	1:500M
D17-187055	171003Geh	9/12/17	6A	P2_6A	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187056	171003Geh	9/12/17	6B	P2_6B	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187057	171003Geh	9/12/17	6C	P2_6C	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187058	171003Geh	9/12/17	6D	P2_6D	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187059	171003Geh	9/12/17	6E	P2_6E	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187060	171003Geh	9/12/17	6F	P2_6F	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187061	171003Geh	9/12/17	6G	P2_6G	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187062	171003Geh	9/12/17	6H	P2_6H	single	VxC	5	1	6N	torpedo	4	2	HiSeq 2000	1:500M
D17-187063	171003Geh	9/19/17	1A	P3_1A	single	CxV	nocell	0	NA	NA	4	3	HiSeq 2000	1:500M
D17-187064	171003Geh	9/19/17	1B	P3_1B	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187065	171003Geh	9/19/17	1C	P3_1C	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187066	171003Geh	9/19/17	1D	P3_1D	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187067	171003Geh	9/19/17	1E	P3_1E	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187068	171003Geh	9/19/17	1F	P3_1F	single	CxV	4	2	3N	heart	3	3	HiSeq 2000	1:500M
D17-187069	171003Geh	9/19/17	1G	P3_1G	single	CxV	4	2	3N	heart	3	3	HiSeq 2000	1:500M
D17-187070	171003Geh	9/19/17	2A	P3_2A	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187071	171003Geh	9/19/17	2B	P3_2B	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187072	171003Geh	9/19/17	2C	P3_2C	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187073	171003Geh	9/19/17	2D	P3_2D	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187074	171003Geh	9/19/17	2E	P3_2E	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187075	171003Geh	9/19/17	2F	P3_2F	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187076	171003Geh	9/19/17	2G	P3_2G	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187077	171003Geh	9/19/17	2H	P3_2H	single	CxV	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187078	171003Geh	9/19/17	3A	P3_3A	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187079	171003Geh	9/19/17	3B	P3_3B	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187080	171003Geh	9/19/17	3C	P3_3C	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187081	171003Geh	9/19/17	3D	P3_3D	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187082	171003Geh	9/19/17	3E	P3_3E	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187083	171003Geh	9/19/17	3F	P3_3F	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187084	171003Geh	9/19/17	3G	P3_3G	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187085	171003Geh	9/19/17	3H	P3_3H	single	CxV	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187086	171003Geh	9/19/17	4A	P3_4A	single	VxC	nocell	0	NA	NA	3	3	HiSeq 2000	1:500M
D17-187087	171003Geh	9/19/17	4B	P3_4B	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187088	171003Geh	9/19/17	4C	P3_4C	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187089	171003Geh	9/19/17	4D	P3_4D	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187090	171003Geh	9/19/17	4E	P3_4E	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187091	171003Geh	9/19/17	4F	P3_4F	single	VxC	4	2	3N	heart	3	3	HiSeq 2000	1:500M
D17-187092	171003Geh	9/19/17	4G	P3_4G	single	VxC	4	2	3N	heart	3	3	HiSeq 2000	1:500M
D17-187093	171003Geh	9/19/17	5A	P3_5A	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187094	171003Geh	9/19/17	5B	P3_5B	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187095	171003Geh	9/19/17	5C	P3_5C	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187096	171003Geh	9/19/17	5D	P3_5D	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187097	171003Geh	9/19/17	5E	P3_5E	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187098	171003Geh	9/19/17	5F	P3_5F	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187099	171003Geh	9/19/17	5G	P3_5G	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187100	171003Geh	9/19/17	5H	P3_5H	single	VxC	4	1	3N	heart	3	3	HiSeq 2000	1:500M
D17-187101	171003Geh	9/19/17	6A	P3_6A	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187102	171003Geh	9/19/17	6B	P3_6B	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187103	171003Geh	9/19/17	6C	P3_6C	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187104	171003Geh	9/19/17	6D	P3_6D	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187105	171003Geh	9/19/17	6E	P3_6E	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187106	171003Geh	9/19/17	6F	P3_6F	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187107	171003Geh	9/19/17	6G	P3_6G	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187108	171003Geh	9/19/17	6H	P3_6H	single	VxC	4	1	6N	heart	3	3	HiSeq 2000	1:500M
D17-187109	171003Geh	9/26/17	1A	P4_1A	single	VxC	nocell	0	NA	NA	1	4	HiSeq 2000	1:500M
D17-187110	171003Geh	9/26/17	1B	P4_1B	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187111	171003Geh	9/26/17	1C	P4_1C	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187112	171003Geh	9/26/17	1D	P4_1D	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187113	171003Geh	9/26/17	1E	P4_1E	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187114	171003Geh	9/26/17	1F	P4_1F	single	VxC	2	2	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187115	171003Geh	9/26/17	1G	P4_1G	single	VxC	2	2	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187116	171003Geh	9/26/17	2A	P4_2A	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187117	171003Geh	9/26/17	2B	P4_2B	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187118	171003Geh	9/26/17	2C	P4_2C	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187119	171003Geh	9/26/17	2D	P4_2D	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187120	171003Geh	9/26/17	2E	P4_2E	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187121	171003Geh	9/26/17	2F	P4_2F	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187122	171003Geh	9/26/17	2G	P4_2G	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187123	171003Geh	9/26/17	2H	P4_2H	single	VxC	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187124	171003Geh	9/26/17	3A	P4_3A	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187125	171003Geh	9/26/17	3B	P4_3B	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187126	171003Geh	9/26/17	3C	P4_3C	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187127	171003Geh	9/26/17	3D	P4_3D	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187128	171003Geh	9/26/17	3E	P4_3E	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187129	171003Geh	9/26/17	3F	P4_3F	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187130	171003Geh	9/26/17	3G	P4_3G	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187131	171003Geh	9/26/17	3H	P4_3H	single	VxC	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187132	171003Geh	9/26/17	4B	P4_4B	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187133	171003Geh	9/26/17	4C	P4_4C	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187134	171003Geh	9/26/17	4D	P4_4D	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187135	171003Geh	9/26/17	4E	P4_4E	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187136	171003Geh	9/26/17	4F	P4_4F	single	CxV	2	2	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187137	171003Geh	9/26/17	4G	P4_4G	single	CxV	2	2	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187138	171003Geh	9/26/17	5A	P4_5A	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187139	171003Geh	9/26/17	5B	P4_5B	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187140	171003Geh	9/26/17	5C	P4_5C	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187141	171003Geh	9/26/17	5D	P4_5D	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187142	171003Geh	9/26/17	5E	P4_5E	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187143	171003Geh	9/26/17	5F	P4_5F	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187144	171003Geh	9/26/17	5G	P4_5G	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187145	171003Geh	9/26/17	5H	P4_5H	single	CxV	2	1	3N	preglobular	1	4	HiSeq 2000	1:500M
D17-187146	171003Geh	9/26/17	6A	P4_6A	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187147	171003Geh	9/26/17	6B	P4_6B	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187148	171003Geh	9/26/17	6D	P4_6D	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187149	171003Geh	9/26/17	6E	P4_6E	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187150	171003Geh	9/26/17	6F	P4_6F	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187151	171003Geh	9/26/17	6G	P4_6G	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-187152	171003Geh	9/26/17	6H	P4_6H	single	CxV	2	1	4N	preglobular	1	4	HiSeq 2000	1:500M
D17-213191	171220Geh	10/27/17	1A	P5_1A	single	CxL	nocell	0	NA	NA	2	5	HiSeq 2000	1:500M
D17-213192	171220Geh	10/27/17	1B	P5_1B	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213193	171220Geh	10/27/17	1C	P5_1C	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213194	171220Geh	10/27/17	1D	P5_1D	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213195	171220Geh	10/27/17	1E	P5_1E	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213196	171220Geh	10/27/17	1F	P5_1F	single	CxL	3	2	3N	globular	2	5	HiSeq 2000	1:500M
D17-213197	171220Geh	10/27/17	1G	P5_1G	single	CxL	3	2	3N	globular	2	5	HiSeq 2000	1:500M
D17-213198	171220Geh	10/27/17	2A	P5_2A	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213199	171220Geh	10/27/17	2B	P5_2B	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213200	171220Geh	10/27/17	2C	P5_2C	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213201	171220Geh	10/27/17	2D	P5_2D	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213202	171220Geh	10/27/17	2E	P5_2E	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213203	171220Geh	10/27/17	2F	P5_2F	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213204	171220Geh	10/27/17	2G	P5_2G	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213205	171220Geh	10/27/17	2H	P5_2H	single	CxL	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213206	171220Geh	10/27/17	3A	P5_3A	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213207	171220Geh	10/27/17	3B	P5_3B	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213208	171220Geh	10/27/17	3C	P5_3C	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213209	171220Geh	10/27/17	3D	P5_3D	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213210	171220Geh	10/27/17	3E	P5_3E	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213211	171220Geh	10/27/17	3F	P5_3F	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213212	171220Geh	10/27/17	3G	P5_3G	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213213	171220Geh	10/27/17	3H	P5_3H	single	CxL	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213214	171220Geh	10/27/17	4A	P5_4A	single	LxC	nocell	0	NA	NA	2	5	HiSeq 2000	1:500M
D17-213215	171220Geh	10/27/17	4B	P5_4B	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213216	171220Geh	10/27/17	4C	P5_4C	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213217	171220Geh	10/27/17	4D	P5_4D	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213218	171220Geh	10/27/17	4E	P5_4E	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213219	171220Geh	10/27/17	4F	P5_4F	single	LxC	3	2	3N	globular	2	5	HiSeq 2000	1:500M
D17-213220	171220Geh	10/27/17	4G	P5_4G	single	LxC	3	2	3N	globular	2	5	HiSeq 2000	1:500M
D17-213221	171220Geh	10/27/17	5A	P5_5A	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213222	171220Geh	10/27/17	5B	P5_5B	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213223	171220Geh	10/27/17	5C	P5_5C	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213224	171220Geh	10/27/17	5D	P5_5D	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213225	171220Geh	10/27/17	5E	P5_5E	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213226	171220Geh	10/27/17	5F	P5_5F	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213227	171220Geh	10/27/17	5G	P5_5G	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213228	171220Geh	10/27/17	5H	P5_5H	single	LxC	3	1	3N	globular	2	5	HiSeq 2000	1:500M
D17-213229	171220Geh	10/27/17	6A	P5_6A	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213230	171220Geh	10/27/17	6B	P5_6B	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213231	171220Geh	10/27/17	6C	P5_6C	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213232	171220Geh	10/27/17	6D	P5_6D	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213233	171220Geh	10/27/17	6E	P5_6E	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213234	171220Geh	10/27/17	6F	P5_6F	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213235	171220Geh	10/27/17	6G	P5_6G	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213236	171220Geh	10/27/17	6H	P5_6H	single	LxC	3	1	6N	globular	2	5	HiSeq 2000	1:500M
D17-213237	171220Geh	11/2/17	7A	P6_7A	single	CxL	nocell	0	NA	NA	3	6	HiSeq 2000	1:250M
D17-213238	171220Geh	11/2/17	7B	P6_7B	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213239	171220Geh	11/2/17	7C	P6_7C	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213240	171220Geh	11/2/17	7D	P6_7D	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213241	171220Geh	11/2/17	7E	P6_7E	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213242	171220Geh	11/2/17	7F	P6_7F	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213243	171220Geh	11/2/17	7G	P6_7G	single	CxL	5	2	3N	heart	3	6	HiSeq 2000	1:250M
D17-213244	171220Geh	11/2/17	7H	P6_7H	single	CxL	5	2	3N	heart	3	6	HiSeq 2000	1:250M
D17-213245	171220Geh	11/2/17	8A	P6_8A	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213246	171220Geh	11/2/17	8B	P6_8B	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213247	171220Geh	11/2/17	8C	P6_8C	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213248	171220Geh	11/2/17	8D	P6_8D	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213249	171220Geh	11/2/17	8E	P6_8E	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213250	171220Geh	11/2/17	8F	P6_8F	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213251	171220Geh	11/2/17	8G	P6_8G	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213252	171220Geh	11/2/17	8H	P6_8H	single	CxL	5	1	3N	heart	3	6	HiSeq 2000	1:250M
D17-213253	171220Geh	11/2/17	9A	P6_9A	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213254	171220Geh	11/2/17	9B	P6_9B	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213255	171220Geh	11/2/17	9C	P6_9C	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213256	171220Geh	11/2/17	9D	P6_9D	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213257	171220Geh	11/2/17	9E	P6_9E	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213258	171220Geh	11/2/17	9F	P6_9F	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213259	171220Geh	11/2/17	9G	P6_9G	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213260	171220Geh	11/2/17	9H	P6_9H	single	CxL	5	1	6N	heart	3	6	HiSeq 2000	1:250M
D17-213261	171220Geh	11/2/17	10B	P6_10B	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
D17-213262	171220Geh	11/2/17	10C	P6_10C	single	LxC	5	1	3N	torpedo	4	6	HiSeq 2000	1:250M
