name	experiment 	library	cross	dap	ploidy	stage	batch	fmat	tissue	washed	cell cycle stage	trajectory
P11_1D	180507Geh	paired	VxC	4	3N	heart	1	0.941032	seedcoat	no	G1toS	722
P11_3A	180507Geh	paired	VxC	4	3N	heart	1	0.955271	seedcoat	no	G0	1213
P11_3E	180507Geh	paired	VxC	4	3N	heart	1	0.977869	seedcoat	no	G0	1214
P11_3G	180507Geh	paired	VxC	4	3N	heart	1	0.988665	seedcoat	no	G1	1107
P11_4C	180507Geh	paired	VxC	4	3N	heart	1	0.957912	seedcoat	no	G0	1295
P11_4D	180507Geh	paired	VxC	4	3N	heart	1	0.729689	endo	no	G1toS	751
P11_4E	180507Geh	paired	VxC	4	3N	heart	1	0.983344	seedcoat	no	G1	1127
P11_4G	180507Geh	paired	VxC	4	3N	heart	1	0.953103	seedcoat	no	G1	1128
P11_4H	180507Geh	paired	VxC	4	3N	heart	1	0.928732	seedcoat	no	G0	1246
P11_5B	180507Geh	paired	VxC	4	3N	heart	1	0.755666	endo	no	S	564
P11_5C	180507Geh	paired	VxC	4	3N	heart	1	0.990952	seedcoat	no	G1	1058
P11_5D	180507Geh	paired	VxC	4	3N	heart	1	0.72868	endo	no	S	513
P11_5E	180507Geh	paired	VxC	4	3N	heart	1	0.960315	seedcoat	no	G0	1296
P11_6A	180507Geh	paired	VxC	4	3N	heart	1	0.95476	seedcoat	no	G0	1215
P11_6B	180507Geh	paired	VxC	4	3N	heart	1	0.698622	endo	no	G1toS	804
P11_6C	180507Geh	paired	VxC	4	3N	heart	1	0.734099	endo	no	G1	967
P11_6D	180507Geh	paired	VxC	4	3N	heart	1	0.96968	seedcoat	no	G1	925
P11_6E	180507Geh	paired	VxC	4	3N	heart	1	0.758325	endo	no	S	474
P11_6G	180507Geh	paired	VxC	4	3N	heart	1	0.705671	endo	no	S	651
P11_7C	180507Geh	paired	VxC	4	3N	heart	1	0.949927	seedcoat	no	G0	1216
P11_7D	180507Geh	paired	VxC	4	3N	heart	1	0.741118	endo	no	G1toS	881
P11_7E	180507Geh	paired	VxC	4	3N	heart	1	0.765784	endo	no	G2	429
P11_7G	180507Geh	paired	VxC	4	3N	heart	1	0.990774	seedcoat	no	G0	1247
P11_8A	180507Geh	paired	VxC	4	3N	heart	1	0.99085	seedcoat	no	G0	1174
P11_8B	180507Geh	paired	VxC	4	3N	heart	1	0.781396	endo	no	S	602
P11_8C	180507Geh	paired	VxC	4	3N	heart	1	0.709519	endo	no	G2	369
P11_8D	180507Geh	paired	VxC	4	3N	heart	1	0.919702	seedcoat	no	G1toS	847
P11_8G	180507Geh	paired	VxC	4	3N	heart	1	0.733169	endo	no	G1toS	781
P11_8H	180507Geh	paired	VxC	4	3N	heart	1	0.728396	endo	no	S	652
P11_9A	180507Geh	paired	VxC	4	6N	heart	1	0.732541	endo	no	G1	1129
P11_9B	180507Geh	paired	VxC	4	6N	heart	1	0.737931	endo	no	G2	275
P11_9C	180507Geh	paired	VxC	4	6N	heart	1	0.730104	endo	no	G1toS	752
P11_9D	180507Geh	paired	VxC	4	6N	heart	1	0.758397	endo	no	G2	276
P11_9E	180507Geh	paired	VxC	4	6N	heart	1	0.744101	endo	no	G1	981
P11_9G	180507Geh	paired	VxC	4	6N	heart	1	0.780347	endo	no	G2	342
P11_9H	180507Geh	paired	VxC	4	6N	heart	1	0.745343	endo	no	G2	343
P12_10B	180507Geh	paired	CxV	4	6N	heart	1	0.779558	endo	no	M	27
P12_10C	180507Geh	paired	CxV	4	6N	heart	1	0.750898	endo	no	M	2
P12_10D	180507Geh	paired	CxV	4	6N	heart	1	0.776524	endo	no	M	132
P12_10E	180507Geh	paired	CxV	4	6N	heart	1	0.769488	endo	no	M	110
P12_10G	180507Geh	paired	CxV	4	6N	heart	1	0.968478	seedcoat	no	G1	1108
P12_10H	180507Geh	paired	CxV	4	6N	heart	1	0.82697	endo	no	G2	367
P12_11A	180507Geh	paired	CxV	4	6N	heart	1	0.767345	endo	no	G2	394
P12_11B	180507Geh	paired	CxV	4	6N	heart	1	0.729405	endo	no	M	28
P12_11C	180507Geh	paired	CxV	4	6N	heart	1	0.747951	endo	no	G1	1016
P12_11D	180507Geh	paired	CxV	4	6N	heart	1	0.746368	endo	no	G2	277
P12_11E	180507Geh	paired	CxV	4	6N	heart	1	0.733599	endo	no	S	481
P12_11G	180507Geh	paired	CxV	4	6N	heart	1	0.922857	seedcoat	no	S	467
P12_11H	180507Geh	paired	CxV	4	6N	heart	1	0.808687	endo	no	M	29
P12_12A	180507Geh	paired	CxV	4	6N	heart	1	0.724302	endo	no	G2	278
P12_12B	180507Geh	paired	CxV	4	6N	heart	1	0.733506	endo	no	M	3
P12_12D	180507Geh	paired	CxV	4	6N	heart	1	0.794305	endo	no	G2	210
P12_12E	180507Geh	paired	CxV	4	6N	heart	1	0.760921	endo	no	M	133
P12_12G	180507Geh	paired	CxV	4	6N	heart	1	0.763857	endo	no	M	4
P12_12H	180507Geh	paired	CxV	4	6N	heart	1	0.973463	seedcoat	no	G0	1217
P12_1C	180507Geh	paired	CxV	4	3N	heart	1	0.96603	seedcoat	no	G1	1017
P12_1E	180507Geh	paired	CxV	4	3N	heart	1	0.747333	endo	no	S	584
P12_3A	180507Geh	paired	CxV	4	3N	heart	1	0.969658	seedcoat	no	G0	1248
P12_3C	180507Geh	paired	CxV	4	3N	heart	1	0.682697	endo	no	G1	1072
P12_3D	180507Geh	paired	CxV	4	3N	heart	1	0.699906	endo	no	G2	211
P12_3E	180507Geh	paired	CxV	4	3N	heart	1	0.713013	endo	no	G2	212
P12_3G	180507Geh	paired	CxV	4	3N	heart	1	0.738759	endo	no	G1	1059
P12_3H	180507Geh	paired	CxV	4	3N	heart	1	0.763587	endo	no	G1	1060
P12_4B	180507Geh	paired	CxV	4	3N	heart	1	0.701324	endo	no	G2	430
P12_4C	180507Geh	paired	CxV	4	3N	heart	1	0.755912	endo	no	G1	1081
P12_4D	180507Geh	paired	CxV	4	3N	heart	1	0.765077	endo	no	G2	419
P12_4E	180507Geh	paired	CxV	4	3N	heart	1	0.736002	endo	no	S	603
P12_4G	180507Geh	paired	CxV	4	3N	heart	1	0.970292	seedcoat	no	G2	279
P12_4H	180507Geh	paired	CxV	4	3N	heart	1	0.730174	endo	no	G1toS	826
P12_5A	180507Geh	paired	CxV	4	3N	heart	1	0.979245	seedcoat	no	G0	1272
P12_5B	180507Geh	paired	CxV	4	3N	heart	1	0.756854	endo	no	S	491
P12_5C	180507Geh	paired	CxV	4	3N	heart	1	0.979993	seedcoat	no	G1toS	782
P12_5D	180507Geh	paired	CxV	4	3N	heart	1	0.773972	endo	no	G1	1109
P12_5E	180507Geh	paired	CxV	4	3N	heart	1	0.757875	endo	no	G1toS	753
P12_5G	180507Geh	paired	CxV	4	3N	heart	1	0.956068	seedcoat	no	G0	1297
P12_5H	180507Geh	paired	CxV	4	3N	heart	1	0.784628	endo	no	S	698
P12_6C	180507Geh	paired	CxV	4	3N	heart	1	0.745266	endo	no	G2	395
P12_6D	180507Geh	paired	CxV	4	3N	heart	1	0.736643	endo	no	G2	189
P12_6E	180507Geh	paired	CxV	4	3N	heart	1	0.763524	endo	no	G1toS	827
P12_6H	180507Geh	paired	CxV	4	3N	heart	1	0.978665	seedcoat	no	G2	370
P12_7B	180507Geh	paired	CxV	4	3N	heart	1	0.760951	endo	no	G0	1273
P12_7C	180507Geh	paired	CxV	4	3N	heart	1	0.732902	endo	no	G2	280
P12_7D	180507Geh	paired	CxV	4	3N	heart	1	0.731003	endo	no	G0	1168
P12_7E	180507Geh	paired	CxV	4	3N	heart	1	0.741149	endo	no	G1	1130
P12_7G	180507Geh	paired	CxV	4	3N	heart	1	0.71904	endo	no	S	514
P12_8A	180507Geh	paired	CxV	4	3N	heart	1	0.725517	endo	no	S	515
P12_8B	180507Geh	paired	CxV	4	3N	heart	1	0.989242	seedcoat	no	G0	1249
P12_8C	180507Geh	paired	CxV	4	3N	heart	1	0.712029	endo	no	G2	190
P12_8D	180507Geh	paired	CxV	4	3N	heart	1	0.983137	seedcoat	no	G0	1218
P12_8E	180507Geh	paired	CxV	4	3N	heart	1	0.770465	endo	no	G0	1250
P12_8G	180507Geh	paired	CxV	4	3N	heart	1	0.989222	seedcoat	no	G0	1293
P12_9A	180507Geh	paired	CxV	4	6N	heart	1	0.965105	seedcoat	no	G2	281
P12_9B	180507Geh	paired	CxV	4	6N	heart	1	0.771076	endo	no	G2	454
P12_9C	180507Geh	paired	CxV	4	6N	heart	1	0.768357	endo	no	G2	213
P12_9D	180507Geh	paired	CxV	4	6N	heart	1	0.760043	endo	no	G2	344
P12_9E	180507Geh	paired	CxV	4	6N	heart	1	0.758227	endo	no	M	5
P12_9G	180507Geh	paired	CxV	4	6N	heart	1	0.753407	endo	no	G1	1061
P12_9H	180507Geh	paired	CxV	4	6N	heart	1	0.776012	endo	no	G1	946
P13_10B	180507Geh	paired	VxC	4	6N	heart	1	0.69617	endo	no	M	54
P13_10C	180507Geh	paired	VxC	4	6N	heart	1	0.721882	endo	no	G2	241
P13_10D	180507Geh	paired	VxC	4	6N	heart	1	0.729735	endo	no	G1	947
P13_10E	180507Geh	paired	VxC	4	6N	heart	1	0.913909	endo	no	G0	1178
P13_10F	180507Geh	paired	VxC	4	6N	heart	1	0.726632	endo	no	M	72
P13_10G	180507Geh	paired	VxC	4	6N	heart	1	0.775983	endo	no	G2	182
P13_10H	180507Geh	paired	VxC	4	6N	heart	1	0.677436	endo	no	G1toS	805
P13_11A	180507Geh	paired	VxC	4	6N	heart	1	0.654006	endo	no	G2	214
P13_11B	180507Geh	paired	VxC	4	6N	heart	1	0.974192	seedcoat	no	G0	1219
P13_11C	180507Geh	paired	VxC	4	6N	heart	1	0.696837	endo	no	G0	1220
P13_11D	180507Geh	paired	VxC	4	6N	heart	1	0.951164	seedcoat	no	G2	418
P13_11E	180507Geh	paired	VxC	4	6N	heart	1	0.687031	endo	no	S	699
P13_11F	180507Geh	paired	VxC	4	6N	heart	1	0.74013	endo	no	G2	431
P13_11G	180507Geh	paired	VxC	4	6N	heart	1	0.735954	endo	no	G1toS	754
P13_11H	180507Geh	paired	VxC	4	6N	heart	1	0.696914	endo	no	S	492
P13_12A	180507Geh	paired	VxC	4	6N	heart	1	0.716084	endo	no	G1toS	904
P13_12B	180507Geh	paired	VxC	4	6N	heart	1	0.696835	endo	no	G2	282
P13_12C	180507Geh	paired	VxC	4	6N	heart	1	0.730164	endo	no	G2	283
P13_12D	180507Geh	paired	VxC	4	6N	heart	1	0.709484	endo	no	M	30
P13_12E	180507Geh	paired	VxC	4	6N	heart	1	0.730486	endo	no	G1toS	755
P13_12F	180507Geh	paired	VxC	4	6N	heart	1	0.745741	endo	no	G1toS	756
P13_12G	180507Geh	paired	VxC	4	6N	heart	1	0.667364	endo	no	G1	1009
P13_12H	180507Geh	paired	VxC	4	6N	heart	1	0.955682	seedcoat	no	G1	1158
P13_1C	180507Geh	paired	VxC	4	3N	heart	1	0.941239	seedcoat	no	G2	371
P13_1D	180507Geh	paired	VxC	4	3N	heart	1	0.717636	endo	no	G1	982
P13_1E	180507Geh	paired	VxC	4	3N	heart	1	0.769771	endo	no	G1	948
P13_2A	180507Geh	paired	VxC	4	3N	heart	1	0.948974	seedcoat	no	G0	1274
P13_2D	180507Geh	paired	VxC	4	3N	heart	1	0.991246	seedcoat	no	G0	1298
P13_2F	180507Geh	paired	VxC	4	3N	heart	1	0.734625	endo	no	G1toS	906
P13_2G	180507Geh	paired	VxC	4	3N	heart	1	0.968712	seedcoat	no	G1	983
P13_3A	180507Geh	paired	VxC	4	3N	heart	1	0.930031	seedcoat	no	G1	1118
P13_3B	180507Geh	paired	VxC	4	3N	heart	1	0.71583	endo	no	S	604
P13_3C	180507Geh	paired	VxC	4	3N	heart	1	0.736616	endo	no	S	605
P13_3D	180507Geh	paired	VxC	4	3N	heart	1	0.967756	seedcoat	no	G2	191
P13_3E	180507Geh	paired	VxC	4	3N	heart	1	0.931942	seedcoat	no	G1	1018
P13_3F	180507Geh	paired	VxC	4	3N	heart	1	0.723848	endo	no	S	653
P13_3G	180507Geh	paired	VxC	4	3N	heart	1	0.790417	endo	no	G1toS	686
P13_3H	180507Geh	paired	VxC	4	3N	heart	1	0.744611	endo	no	G1toS	783
P13_4B	180507Geh	paired	VxC	4	3N	heart	1	0.956059	seedcoat	no	G0	1251
P13_4C	180507Geh	paired	VxC	4	3N	heart	1	0.76625	endo	no	S	606
P13_4D	180507Geh	paired	VxC	4	3N	heart	1	0.747652	endo	no	G2	242
P13_4E	180507Geh	paired	VxC	4	3N	heart	1	0.760474	endo	no	G1toS	706
P13_4F	180507Geh	paired	VxC	4	3N	heart	1	0.947356	seedcoat	no	G2	187
P13_4G	180507Geh	paired	VxC	4	3N	heart	1	0.768737	endo	no	G1	1038
P13_5B	180507Geh	paired	VxC	4	3N	heart	1	0.754054	endo	no	G0	1183
P13_5C	180507Geh	paired	VxC	4	3N	heart	1	0.961324	seedcoat	no	G0	1209
P13_5D	180507Geh	paired	VxC	4	3N	heart	1	0.693883	endo	no	G1	984
P13_5E	180507Geh	paired	VxC	4	3N	heart	1	0.957939	seedcoat	no	G2	215
P13_5F	180507Geh	paired	VxC	4	3N	heart	1	0.727738	endo	no	G1	985
P13_5G	180507Geh	paired	VxC	4	3N	heart	1	0.671226	endo	no	G1toS	707
P13_5H	180507Geh	paired	VxC	4	3N	heart	1	0.763475	endo	no	G1	965
P13_6A	180507Geh	paired	VxC	4	3N	heart	1	0.721545	endo	no	G1toS	784
P13_6C	180507Geh	paired	VxC	4	3N	heart	1	0.725688	endo	no	G1toS	723
P13_6D	180507Geh	paired	VxC	4	3N	heart	1	0.66369	endo	no	S	516
P13_6E	180507Geh	paired	VxC	4	3N	heart	1	0.720203	endo	no	S	493
P13_6F	180507Geh	paired	VxC	4	3N	heart	1	0.979753	seedcoat	no	G1toS	828
P13_6G	180507Geh	paired	VxC	4	3N	heart	1	0.948641	seedcoat	no	G1toS	870
P13_6H	180507Geh	paired	VxC	4	3N	heart	1	0.942576	seedcoat	no	G2	216
P13_7C	180507Geh	paired	VxC	4	3N	heart	1	0.7533	endo	no	S	654
P13_7D	180507Geh	paired	VxC	4	3N	heart	1	0.933996	seedcoat	no	G2	372
P13_7E	180507Geh	paired	VxC	4	3N	heart	1	0.525997	embryo	no	G0	1275
P13_7G	180507Geh	paired	VxC	4	3N	heart	1	0.949774	seedcoat	no	G1toS	882
P13_8A	180507Geh	paired	VxC	4	3N	heart	1	0.61704	endo	no	G0	1184
P13_8C	180507Geh	paired	VxC	4	3N	heart	1	0.730676	endo	no	G1toS	785
P13_8D	180507Geh	paired	VxC	4	3N	heart	1	0.960114	seedcoat	no	G2	411
P13_8E	180507Geh	paired	VxC	4	3N	heart	1	0.680705	endo	no	G1toS	829
P13_8F	180507Geh	paired	VxC	4	3N	heart	1	0.777489	endo	no	G1toS	871
P13_8G	180507Geh	paired	VxC	4	3N	heart	1	0.946488	seedcoat	no	G1	986
P13_8H	180507Geh	paired	VxC	4	3N	heart	1	0.73641	endo	no	S	607
P13_9A	180507Geh	paired	VxC	4	6N	heart	1	0.730044	endo	no	G1	1131
P13_9B	180507Geh	paired	VxC	4	6N	heart	1	0.771741	endo	no	G1toS	786
P13_9C	180507Geh	paired	VxC	4	6N	heart	1	0.734396	endo	no	S	608
P13_9D	180507Geh	paired	VxC	4	6N	heart	1	0.703643	endo	no	G2	396
P13_9E	180507Geh	paired	VxC	4	6N	heart	1	0.745804	endo	no	G1toS	806
P13_9F	180507Geh	paired	VxC	4	6N	heart	1	0.741507	endo	no	G2	284
P13_9G	180507Geh	paired	VxC	4	6N	heart	1	0.70265	endo	no	G2	197
P13_9H	180507Geh	paired	VxC	4	6N	heart	1	0.708642	endo	no	G1	1098
P14_10C	180507Geh	paired	CxV	4	6N	heart	1	0.779456	endo	no	G1	926
P14_10D	180507Geh	paired	CxV	4	6N	heart	1	0.96357	seedcoat	no	G0	1221
P14_10E	180507Geh	paired	CxV	4	6N	heart	1	0.732771	endo	no	G2	345
P14_10F	180507Geh	paired	CxV	4	6N	heart	1	0.71527	endo	no	G1	987
P14_10G	180507Geh	paired	CxV	4	6N	heart	1	0.74445	endo	no	G1	1132
P14_10H	180507Geh	paired	CxV	4	6N	heart	1	0.770008	endo	no	M	6
P14_11A	180507Geh	paired	CxV	4	6N	heart	1	0.681933	endo	no	M	134
P14_11B	180507Geh	paired	CxV	4	6N	heart	1	0.996512	seedcoat	no	G1	1019
P14_11C	180507Geh	paired	CxV	4	6N	heart	1	0.754483	endo	no	G2	285
P14_11D	180507Geh	paired	CxV	4	6N	heart	1	0.730459	endo	no	G2	198
P14_11E	180507Geh	paired	CxV	4	6N	heart	1	0.752366	endo	no	M	55
P14_11F	180507Geh	paired	CxV	4	6N	heart	1	0.951734	seedcoat	no	G0	1185
P14_11G	180507Geh	paired	CxV	4	6N	heart	1	0.787529	endo	no	G2	217
P14_11H	180507Geh	paired	CxV	4	6N	heart	1	0.692988	endo	no	M	7
P14_12A	180507Geh	paired	CxV	4	6N	heart	1	0.772263	endo	no	G0	1186
P14_12B	180507Geh	paired	CxV	4	6N	heart	1	0.75085	endo	no	M	73
P14_12C	180507Geh	paired	CxV	4	6N	heart	1	0.728229	endo	no	S	655
P14_12D	180507Geh	paired	CxV	4	6N	heart	1	0.762449	endo	no	G2	286
P14_12E	180507Geh	paired	CxV	4	6N	heart	1	0.950305	seedcoat	no	M	158
P14_12F	180507Geh	paired	CxV	4	6N	heart	1	0.745995	endo	no	G1	949
P14_12G	180507Geh	paired	CxV	4	6N	heart	1	0.954316	seedcoat	no	G2	287
P14_12H	180507Geh	paired	CxV	4	6N	heart	1	0.99275	seedcoat	no	G1	1159
P14_1B	180507Geh	paired	CxV	4	3N	heart	1	0.725719	endo	no	G2	288
P14_1C	180507Geh	paired	CxV	4	3N	heart	1	0.691624	endo	no	G1toS	935
P14_1D	180507Geh	paired	CxV	4	3N	heart	1	0.734532	endo	no	G1	1007
P14_1E	180507Geh	paired	CxV	4	3N	heart	1	0.746283	endo	no	G1	941
P14_1F	180507Geh	paired	CxV	4	3N	heart	1	0.707816	endo	no	G1toS	907
P14_2A	180507Geh	paired	CxV	4	3N	heart	1	0.743928	endo	no	G1toS	908
P14_2B	180507Geh	paired	CxV	4	3N	heart	1	0.716141	endo	no	G2	432
P14_2C	180507Geh	paired	CxV	4	3N	heart	1	0.95786	seedcoat	no	G1	1133
P14_2D	180507Geh	paired	CxV	4	3N	heart	1	0.691209	endo	no	G0	1222
P14_2E	180507Geh	paired	CxV	4	3N	heart	1	0.696454	endo	no	S	517
P14_2F	180507Geh	paired	CxV	4	3N	heart	1	0.748613	endo	no	G2	272
P14_2G	180507Geh	paired	CxV	4	3N	heart	1	0.742011	endo	no	G1toS	909
P14_2H	180507Geh	paired	CxV	4	3N	heart	1	0.768343	endo	no	G1toS	724
P14_3A	180507Geh	paired	CxV	4	3N	heart	1	0.698368	endo	no	G0	1223
P14_3B	180507Geh	paired	CxV	4	3N	heart	1	0.770202	endo	no	G1	927
P14_3C	180507Geh	paired	CxV	4	3N	heart	1	0.736643	endo	no	S	574
P14_3D	180507Geh	paired	CxV	4	3N	heart	1	0.977409	seedcoat	no	G2	289
P14_3E	180507Geh	paired	CxV	4	3N	heart	1	0.711196	endo	no	G1toS	910
P14_3F	180507Geh	paired	CxV	4	3N	heart	1	0.758761	endo	no	G2	269
P14_4D	180507Geh	paired	CxV	4	3N	heart	1	0.710303	endo	no	S	700
P14_4F	180507Geh	paired	CxV	4	3N	heart	1	0.985941	seedcoat	no	G1	1160
P14_4G	180507Geh	paired	CxV	4	3N	heart	1	0.95781	seedcoat	no	G2	290
P14_4H	180507Geh	paired	CxV	4	3N	heart	1	0.87473	endo	no	G1	950
P14_5A	180507Geh	paired	CxV	4	3N	heart	1	0.742373	endo	no	G0	1299
P14_5B	180507Geh	paired	CxV	4	3N	heart	1	0.74125	endo	no	G1toS	883
P14_5C	180507Geh	paired	CxV	4	3N	heart	1	0.70099	endo	no	S	518
P14_5D	180507Geh	paired	CxV	4	3N	heart	1	0.758255	endo	no	S	519
P14_5E	180507Geh	paired	CxV	4	3N	heart	1	0.802041	endo	no	G1	988
P14_5F	180507Geh	paired	CxV	4	3N	heart	1	0.990449	seedcoat	no	G0	1252
P14_5G	180507Geh	paired	CxV	4	3N	heart	1	0.75807	endo	no	M	135
P14_5H	180507Geh	paired	CxV	4	3N	heart	1	0.779041	endo	no	G1	1062
P14_6A	180507Geh	paired	CxV	4	3N	heart	1	0.693334	endo	no	S	473
P14_6B	180507Geh	paired	CxV	4	3N	heart	1	0.719821	endo	no	G1toS	848
P14_6C	180507Geh	paired	CxV	4	3N	heart	1	0.679158	endo	no	S	520
P14_6D	180507Geh	paired	CxV	4	3N	heart	1	0.71519	endo	no	G1toS	807
P14_6E	180507Geh	paired	CxV	4	3N	heart	1	0.707598	endo	no	G1toS	884
P14_6F	180507Geh	paired	CxV	4	3N	heart	1	0.70776	endo	no	M	111
P14_6G	180507Geh	paired	CxV	4	3N	heart	1	0.748107	endo	no	G1	1039
P14_6H	180507Geh	paired	CxV	4	3N	heart	1	0.728674	endo	no	S	521
P14_7B	180507Geh	paired	CxV	4	3N	heart	1	0.674115	endo	no	S	575
P14_7C	180507Geh	paired	CxV	4	3N	heart	1	0.799233	endo	no	G1toS	885
P14_7D	180507Geh	paired	CxV	4	3N	heart	1	0.764485	endo	no	G1toS	787
P14_7E	180507Geh	paired	CxV	4	3N	heart	1	0.741639	endo	no	G1	1110
P14_7F	180507Geh	paired	CxV	4	3N	heart	1	0.742123	endo	no	S	522
P14_7G	180507Geh	paired	CxV	4	3N	heart	1	0.768523	endo	no	S	523
P14_8A	180507Geh	paired	CxV	4	3N	heart	1	0.530963	embryo	no	M	56
P14_8B	180507Geh	paired	CxV	4	3N	heart	1	0.960429	seedcoat	no	G1	1161
P14_8C	180507Geh	paired	CxV	4	3N	heart	1	0.751897	endo	no	S	524
P14_8D	180507Geh	paired	CxV	4	3N	heart	1	0.755255	endo	no	G0	1253
P14_8E	180507Geh	paired	CxV	4	3N	heart	1	0.713661	endo	no	S	525
P14_8F	180507Geh	paired	CxV	4	3N	heart	1	0.9678	seedcoat	no	G1	1063
P14_8G	180507Geh	paired	CxV	4	3N	heart	1	0.773402	endo	no	G2	291
P14_8H	180507Geh	paired	CxV	4	3N	heart	1	0.755047	endo	no	S	494
P14_9A	180507Geh	paired	CxV	4	6N	heart	1	0.736931	endo	no	M	31
P14_9B	180507Geh	paired	CxV	4	6N	heart	1	0.995545	seedcoat	no	G2	218
P14_9C	180507Geh	paired	CxV	4	6N	heart	1	0.701363	endo	no	G1toS	725
P14_9D	180507Geh	paired	CxV	4	6N	heart	1	0.679047	endo	no	G2	199
P14_9E	180507Geh	paired	CxV	4	6N	heart	1	0.712623	endo	no	G2	455
P14_9F	180507Geh	paired	CxV	4	6N	heart	1	0.754598	endo	no	G2	243
P14_9G	180507Geh	paired	CxV	4	6N	heart	1	0.780595	endo	no	M	82
P15_10B	180516Geh	paired	VxC	4	6N	heart	1	0.95378	seedcoat	no	G1	968
P15_10C	180516Geh	paired	VxC	4	6N	heart	1	0.705742	endo	no	G1	1040
P15_10E	180516Geh	paired	VxC	4	6N	heart	1	0.718633	endo	no	M	32
P15_10F	180516Geh	paired	VxC	4	6N	heart	1	0.694254	endo	no	G2	373
P15_10G	180516Geh	paired	VxC	4	6N	heart	1	0.689626	endo	no	M	83
P15_11A	180516Geh	paired	VxC	4	6N	heart	1	0.72947	endo	no	G2	346
P15_11B	180516Geh	paired	VxC	4	6N	heart	1	0.703429	endo	no	M	33
P15_11C	180516Geh	paired	VxC	4	6N	heart	1	0.710463	endo	no	S	585
P15_11D	180516Geh	paired	VxC	4	6N	heart	1	0.643411	endo	no	S	656
P15_11E	180516Geh	paired	VxC	4	6N	heart	1	0.742863	endo	no	S	495
P15_11F	180516Geh	paired	VxC	4	6N	heart	1	0.762819	endo	no	G1	1073
P15_11G	180516Geh	paired	VxC	4	6N	heart	1	0.713601	endo	no	M	57
P15_11H	180516Geh	paired	VxC	4	6N	heart	1	0.73703	endo	no	G1	951
P15_12A	180516Geh	paired	VxC	4	6N	heart	1	0.696185	endo	no	G2	292
P15_12B	180516Geh	paired	VxC	4	6N	heart	1	0.71357	endo	no	S	569
P15_12C	180516Geh	paired	VxC	4	6N	heart	1	0.755763	endo	no	G2	374
